HEIGHT,WEIGHT,COUNTRY,LAST ATTENDED,BIRTHDATE,DRAFT,EXPERIENCE,DRAFT,BIRTHDATE,COUNTRY,LAST ATTENDED,EXPERIENCE,name,id
"6'8"" (2.03m)",241lb (109kg),USA,Syracuse,"July 22, 1964",1986 R2 Pick 39,6 Years,1986 R2 Pick 39,"July 22, 1964",USA,Syracuse,6 Years,Rafael Addison,912
"6'9"" (2.06m)",255lb (116kg),USA,Kentucky,27 years,"July 18, 1997",2017 R1 Pick 14,7 Years,2017 R1 Pick 14,"July 18, 1997",USA,Kentucky,7 Years,Bam Adebayo,1628389
"6'7"" (2.01m)",200lb (91kg),South Sudan,Louisville,"February 1, 1997",2018,2 Years,2018,"February 1, 1997",South Sudan,Louisville,2 Years,Deng Adel,1629061
"6'2"" (1.88m)",175lb (79kg),USA,Loyola-Marymount,"June 16, 1946",1968 R7 Pick 79,7 Years,1968 R7 Pick 79,"June 16, 1946",USA,Loyola-Marymount,7 Years,Rick Adelman,76015
--,--,USA,Connecticut,"February 10, 1986",Undrafted,6 Years,Undrafted,"February 10, 1986",USA,Connecticut,6 Years,Jeff Adrien,202399
"6'5"" (1.96m)",210lb (95kg),USA,UCLA,"October 15, 1985",2007 R1 Pick 27,12 Years,2007 R1 Pick 27,"October 15, 1985",USA,UCLA,12 Years,Arron Afflalo,201167
"6'5"" (1.96m)",215lb (98kg),USA,Kansas,24 years,"April 20, 2000",2022 R1 Pick 14,2 Years,2022 R1 Pick 14,"April 20, 2000",USA,Kansas,2 Years,Ochai Agbaji,1630534
"6'6"" (1.98m)",232lb (105kg),USA,DePaul,"December 10, 1959",1981 R1 Pick 1,13 Years,1981 R1 Pick 1,"December 10, 1959",USA,DePaul,13 Years,Mark Aguirre,76016
"6'2"" (1.88m)",190lb (86kg),USA,Missouri State,"May 27, 1984",Undrafted,4 Years,Undrafted,"May 27, 1984",USA,Missouri State,4 Years,Blake Ahearn,201336
"6'5"" (1.96m)",175lb (79kg),USA,Brigham Young,"March 17, 1959",1981 R2 Pick 31,14 Years,1981 R2 Pick 31,"March 17, 1959",USA,Brigham Young,14 Years,Danny Ainge,76017
"7'2"" (2.18m)",248lb (112kg),France,Hyeres-Toulon,"May 6, 1988",2008 R1 Pick 20,8 Years,2008 R1 Pick 20,"May 6, 1988",France,Hyeres-Toulon,8 Years,Alexis Ajinca,201582
"6'10"" (2.08m)",225lb (102kg),USA,Morehead State,"July 31, 1944",1966 R2 Pick 11,2 Years,1966 R2 Pick 11,"July 31, 1944",USA,Morehead State,2 Years,Henry Akin,76018
--,--,USA,Baylor,24 years,"November 27, 2000",Undrafted,Rookie,Undrafted,"November 27, 2000",USA,Baylor,Rookie,James Akinjo,1631231
"5'11"" (1.8m)",185lb (84kg),USA,California State-Fullerton,"February 10, 1986",Undrafted,2 Years,Undrafted,"February 10, 1986",USA,California State-Fullerton,2 Years,Josh Akognon,203006
"6'6"" (1.98m)",200lb (91kg),Trinidad and Tobago,Illinois State,"June 5, 1993",2016,2 Years,2016,"June 5, 1993",Trinidad and Tobago,Illinois State,2 Years,DeVaughn Akoon-Purcell,1629152
"7'1"" (2.16m)",252lb (114kg),Nigeria,Florida State,"March 21, 1988",2010 R2 Pick 50,3 Years,2010 R2 Pick 50,"March 21, 1988",Nigeria,Florida State,3 Years,Solomon Alabi,202374
"6'8"" (2.03m)",217lb (98kg),USA,Duke,"December 11, 1963",1986 R1 Pick 18,5 Years,1986 R1 Pick 18,"December 11, 1963",USA,Duke,5 Years,Mark Alarie,76019
"6'9"" (2.06m)",225lb (102kg),USA,Fresno State,"October 8, 1936",1959 R3 Pick 16,2 Years,1959 R3 Pick 16,"October 8, 1936",USA,Fresno State,2 Years,Gary Alcorn,76020
"7'0"" (2.13m)",215lb (98kg),Spain,Loyola-Maryland,23 years,"January 10, 2001",2021 R1 Pick 30,3 Years,2021 R1 Pick 30,"January 10, 2001",Spain,Loyola-Maryland,3 Years,Santi Aldama,1630583
"6'10"" (2.08m)",240lb (109kg),Turkey,Galatasaray,"August 9, 1991",2012 R2 Pick 53,2 Years,2012 R2 Pick 53,"August 9, 1991",Turkey,Galatasaray,2 Years,Furkan Aldemir,203128
"6'11"" (2.11m)",253lb (115kg),USA,Kansas,"October 31, 1988",2010 R1 Pick 11,9 Years,2010 R1 Pick 11,"October 31, 1988",USA,Kansas,9 Years,Cole Aldrich,202332
"6'11"" (2.11m)",250lb (113kg),USA,Texas,"July 19, 1985",2006 R1 Pick 2,17 Years,2006 R1 Pick 2,"July 19, 1985",USA,Texas,17 Years,LaMarcus Aldridge,200746
"6'11"" (2.11m)",260lb (118kg),USA,Connecticut,"February 26, 1959",1982 R4 Pick 76,1 Year,1982 R4 Pick 76,"February 26, 1959",USA,Connecticut,1 Year,Chuck Aleksinas,76021
"6'8"" (2.03m)",240lb (109kg),USA,Kansas,"November 16, 1995",Undrafted,2 Years,Undrafted,"November 16, 1995",USA,Kansas,2 Years,Cliff Alexander,1626146
"6'1"" (1.85m)",190lb (86kg),USA,Virginia,"June 22, 1973",1995 R1 Pick 29,8 Years,1995 R1 Pick 29,"June 22, 1973",USA,Virginia,8 Years,Cory Alexander,724
"6'5"" (1.96m)",205lb (93kg),USA,Fresno State,"April 27, 1977",2000 R1 Pick 13,4 Years,2000 R1 Pick 13,"April 27, 1977",USA,Fresno State,4 Years,Courtney Alexander,2042
"6'7"" (2.01m)",240lb (109kg),USA,South Florida,"November 1, 1969",Undrafted,1 Year,Undrafted,"November 1, 1969",USA,South Florida,1 Year,Gary Alexander,76022
"6'8"" (2.03m)",230lb (104kg),USA,West Virginia,"December 26, 1986",2008 R1 Pick 8,3 Years,2008 R1 Pick 8,"December 26, 1986",USA,West Virginia,3 Years,Joe Alexander,201570
"6'10"" (2.08m)",216lb (98kg),Canada,Tennessee,"October 21, 1996",Undrafted,2 Years,Undrafted,"October 21, 1996",Canada,Tennessee,2 Years,Kyle Alexander,1629734
"6'4"" (1.93m)",185lb (84kg),USA,Creighton,21 years,"May 2, 2003",Undrafted,Rookie,Undrafted,"May 2, 2003",USA,Creighton,Rookie,Trey Alexander,1641725
"6'3"" (1.91m)",195lb (88kg),USA,Creighton,"July 16, 1998",Undrafted,2 Years,Undrafted,"July 16, 1998",USA,Creighton,2 Years,Ty-Shon Alexander,1630234
"6'10"" (2.08m)",265lb (120kg),USA,Iowa State,"August 31, 1969",1991 R1 Pick 17,5 Years,1991 R1 Pick 17,"August 31, 1969",USA,Iowa State,5 Years,Victor Alexander,2349
"6'5"" (1.96m)",205lb (93kg),Canada,Virginia Tech,26 years,"September 2, 1998",2019 R1 Pick 17,5 Years,2019 R1 Pick 17,"September 2, 1998",Canada,Virginia Tech,5 Years,Nickeil Alexander-Walker,1629638
"6'2"" (1.88m)",183lb (83kg),USA,Indiana,"November 23, 1964",1987 R2 Pick 26,4 Years,1987 R2 Pick 26,"November 23, 1964",USA,Indiana,4 Years,Steve Alford,76024
"6'5"" (1.96m)",225lb (102kg),USA,Arizona,"October 29, 1997",Undrafted,2 Years,Undrafted,"October 29, 1997",USA,Arizona,2 Years,Rawle Alkins,1628959
"6'9"" (2.06m)",205lb (93kg),USA,Marshall,"July 17, 1946",1968 R6 Pick 71,1 Year,1968 R6 Pick 71,"July 17, 1946",USA,Marshall,1 Year,Bob Allen,76028
"6'4"" (1.93m)",198lb (90kg),USA,Duke,29 years,"October 8, 1995",2018 R1 Pick 21,6 Years,2018 R1 Pick 21,"October 8, 1995",USA,Duke,6 Years,Grayson Allen,1628960
"6'9"" (2.06m)",243lb (110kg),USA,Texas,26 years,"April 21, 1998",2017 R1 Pick 22,7 Years,2017 R1 Pick 22,"April 21, 1998",USA,Texas,7 Years,Jarrett Allen,1628386
"6'4"" (1.93m)",184lb (83kg),USA,Pennsylvania,"January 28, 1973",1995 R2 Pick 49,2 Years,1995 R2 Pick 49,"January 28, 1973",USA,Pennsylvania,2 Years,Jerome Allen,706
"6'1"" (1.85m)",200lb (91kg),USA,Arizona,"January 15, 1993",2017 R2 Pick 53,3 Years,2017 R2 Pick 53,"January 15, 1993",USA,Arizona,3 Years,Kadeem Allen,1628443
"6'9"" (2.06m)",260lb (118kg),USA,Temple,"February 4, 1989",2011 R2 Pick 50,7 Years,2011 R2 Pick 50,"February 4, 1989",USA,Temple,7 Years,Lavoy Allen,202730
"6'2"" (1.88m)",175lb (79kg),USA,UCLA,"September 26, 1947",1969 R1 Pick 3,10 Years,1969 R1 Pick 3,"September 26, 1947",USA,UCLA,10 Years,Lucius Allen,76027
"6'10"" (2.08m)",255lb (116kg),USA,Villanova,"June 27, 1978",Undrafted,11 Years,Undrafted,"June 27, 1978",USA,Villanova,11 Years,Malik Allen,2124
"6'8"" (2.03m)",220lb (100kg),USA,Florida State,"January 26, 1965",Undrafted,2 Years,Undrafted,"January 26, 1965",USA,Florida State,2 Years,Randy Allen,76025
"6'5"" (1.96m)",205lb (93kg),USA,Connecticut,"July 20, 1975",1996 R1 Pick 5,18 Years,1996 R1 Pick 5,"July 20, 1975",USA,Connecticut,18 Years,Ray Allen,951
"6'6"" (1.98m)",210lb (95kg),USA,Texas,"January 9, 2000",Undrafted,1 Year,Undrafted,"January 9, 2000",USA,Texas,1 Year,Timmy Allen,1641851
"6'4"" (1.93m)",213lb (97kg),USA,Oklahoma State,"January 11, 1982",2004 R1 Pick 25,14 Years,2004 R1 Pick 25,"January 11, 1982",USA,Oklahoma State,14 Years,Tony Allen,2754
"6'6"" (1.98m)",195lb (88kg),USA,UNLV,"October 2, 1949",1971 R5 Pick 76,1 Year,1971 R5 Pick 76,"October 2, 1949",USA,UNLV,1 Year,Odis Allison,76029
"6'11"" (2.11m)",250lb (113kg),USA,Weber State,"February 2, 1981",Undrafted,2 Years,Undrafted,"February 2, 1981",USA,Weber State,2 Years,Lance Allred,200984
"6'8"" (2.03m)",220lb (100kg),USA,UCLA,"September 12, 1958",1980 R5 Pick 103,1 Year,1980 R5 Pick 103,"September 12, 1958",USA,UCLA,1 Year,Darrell Allums,76030
"6'11"" (2.11m)",225lb (102kg),USA,Duquesne,"August 20, 1972",1994 R2 Pick 33,3 Years,1994 R2 Pick 33,"August 20, 1972",USA,Duquesne,3 Years,Derrick Alston,308
"6'2"" (1.88m)",175lb (79kg),USA,Fresno State,"July 24, 1976",1998 R2 Pick 39,11 Years,1998 R2 Pick 39,"July 24, 1976",USA,Fresno State,11 Years,Rafer Alston,1747
"6'10"" (2.08m)",260lb (118kg),USA,Liberty,"April 26, 1973",Undrafted,1 Year,Undrafted,"April 26, 1973",USA,Liberty,1 Year,Peter Aluma,1824
"6'0"" (1.83m)",179lb (81kg),USA,Georgia Tech,26 years,"April 12, 1998",Undrafted,3 Years,Undrafted,"April 12, 1998",USA,Georgia Tech,3 Years,Jose Alvarado,1630631
"6'10"" (2.08m)",270lb (122kg),United Kingdom,Penn State,"November 26, 1970",Undrafted,6 Years,Undrafted,"November 26, 1970",United Kingdom,Penn State,6 Years,John Amaechi,680
"6'8"" (2.03m)",230lb (104kg),USA,Southern Illinois,"November 23, 1971",Undrafted,2 Years,Undrafted,"November 23, 1971",USA,Southern Illinois,2 Years,Ashraf Amaya,732
"6'8"" (2.03m)",220lb (100kg),USA,Wake Forest,"September 21, 1990",2010 R1 Pick 8,12 Years,2010 R1 Pick 8,"September 21, 1990",USA,Wake Forest,12 Years,Al-Farouq Aminu,202329
"6'9"" (2.06m)",220lb (100kg),USA,UNLV,"December 7, 1982",Undrafted,11 Years,Undrafted,"December 7, 1982",USA,UNLV,11 Years,Lou Amundson,200811
"6'3"" (1.91m)",200lb (91kg),USA,Michigan State,"August 24, 1937",1959 R3 Pick 20,1 Year,1959 R3 Pick 20,"August 24, 1937",USA,Michigan State,1 Year,Bob Anderegg,76034
"6'10"" (2.08m)",245lb (111kg),USA,Blinn J.C.,"July 7, 1978",Undrafted,15 Years,Undrafted,"July 7, 1978",USA,Blinn J.C.,15 Years,Chris Andersen,2365
--,--,Australia,FC Barcelona,"June 23, 1980",2002 R2 Pick 36,20 Years,2002 R2 Pick 36,"June 23, 1980",Australia,FC Barcelona,20 Years,David Andersen,2431
"6'6"" (1.98m)",220lb (100kg),USA,Michigan State,"October 16, 1982",Undrafted,9 Years,Undrafted,"October 16, 1982",USA,Michigan State,9 Years,Alan Anderson,101187
"6'6"" (1.98m)",215lb (98kg),USA,Memphis,"June 5, 1985",Undrafted,2 Years,Undrafted,"June 5, 1985",USA,Memphis,2 Years,Antonio Anderson,202079
"6'2"" (1.88m)",200lb (91kg),USA,St. Joseph's (PA),"September 7, 1944",1967 R4 Pick 35,3 Years,1967 R4 Pick 35,"September 7, 1944",USA,St. Joseph's (PA),3 Years,Cliff Anderson,76035
"6'2"" (1.88m)",185lb (84kg),USA,Southern California,"January 1, 1951",1974 R6 Pick 92,2 Years,1974 R6 Pick 92,"January 1, 1951",USA,Southern California,2 Years,Daniel Anderson,76036
"6'5"" (1.96m)",195lb (88kg),USA,Kentucky,"July 18, 1974",1997 R1 Pick 13,12 Years,1997 R1 Pick 13,"July 18, 1974",USA,Kentucky,12 Years,Derek Anderson,1507
"6'3"" (1.91m)",185lb (84kg),USA,Southern California,"December 28, 1960",1982 R2 Pick 41,1 Year,1982 R2 Pick 41,"December 28, 1960",USA,Southern California,1 Year,Dwight Anderson,76037
"6'9"" (2.06m)",220lb (100kg),USA,Indiana,"May 26, 1970",Undrafted,2 Years,Undrafted,"May 26, 1970",USA,Indiana,2 Years,Eric Anderson,944
"6'10"" (2.08m)",250lb (113kg),USA,Houston,"June 22, 1964",1987 R1 Pick 23,10 Years,1987 R1 Pick 23,"June 22, 1964",USA,Houston,10 Years,Greg Anderson,246
"6'6"" (1.98m)",213lb (97kg),USA,Oklahoma State,"March 25, 1989",2010 R1 Pick 20,6 Years,2010 R1 Pick 20,"March 25, 1989",USA,Oklahoma State,6 Years,James Anderson,202341
"6'5"" (1.96m)",195lb (88kg),USA,West Virginia,"October 9, 1953",1975 R3 Pick 53,2 Years,1975 R3 Pick 53,"October 9, 1953",USA,West Virginia,2 Years,Jerome Anderson,76040
"6'5"" (1.96m)",231lb (105kg),USA,Virginia,"November 19, 1993",2015 R1 Pick 21,7 Years,2015 R1 Pick 21,"November 19, 1993",USA,Virginia,7 Years,Justin Anderson,1626147
"6'1"" (1.85m)",168lb (76kg),USA,Georgia Tech,"October 9, 1970",1991 R1 Pick 2,14 Years,1991 R1 Pick 2,"October 9, 1970",USA,Georgia Tech,14 Years,Kenny Anderson,72
"6'7"" (2.01m)",200lb (91kg),USA,Missouri,"May 12, 1955",1978 R7 Pick 146,1 Year,1978 R7 Pick 146,"May 12, 1955",USA,Missouri,1 Year,Kim Anderson,76041
"6'9"" (2.06m)",230lb (104kg),USA,UCLA,31 years,"September 20, 1993",2014 R1 Pick 30,10 Years,2014 R1 Pick 30,"September 20, 1993",USA,UCLA,10 Years,Kyle Anderson,203937
"5'11"" (1.8m)",184lb (83kg),USA,Drexel,"March 23, 1966",1988 R3 Pick 73,1 Year,1988 R3 Pick 73,"March 23, 1966",USA,Drexel,1 Year,Michael Anderson,76042
"6'8"" (2.03m)",195lb (88kg),USA,Bradley,"September 23, 1960",1982 R2 Pick 36,3 Years,1982 R2 Pick 36,"September 23, 1960",USA,Bradley,3 Years,Mitchell Anderson,76043
"6'6"" (1.98m)",228lb (103kg),USA,Illinois,"January 20, 1968",1989 R1 Pick 11,14 Years,1989 R1 Pick 11,"January 20, 1968",USA,Illinois,14 Years,Nick Anderson,98
"6'10"" (2.08m)",240lb (109kg),USA,California-Santa Barbara,"November 19, 1960",1982 R2 Pick 32,6 Years,1982 R2 Pick 32,"November 19, 1960",USA,California-Santa Barbara,6 Years,Richard Anderson,76045
"6'7"" (2.01m)",215lb (98kg),USA,Fresno State,"October 15, 1958",1984 R2 Pick 27,10 Years,1984 R2 Pick 27,"October 15, 1958",USA,Fresno State,10 Years,Ron Anderson,76046
"6'9"" (2.06m)",240lb (109kg),USA,California,"May 6, 1988",2008 R1 Pick 21,12 Years,2008 R1 Pick 21,"May 6, 1988",USA,California,12 Years,Ryan Anderson,201583
"6'6"" (1.98m)",215lb (98kg),USA,Georgia,"December 31, 1973",1996 R2 Pick 54,10 Years,1996 R2 Pick 54,"December 31, 1973",USA,Georgia,10 Years,Shandon Anderson,1000
"6'8"" (2.03m)",200lb (91kg),USA,Georgia,"January 8, 1967",1988 R1 Pick 10,8 Years,1988 R1 Pick 10,"January 8, 1967",USA,Georgia,8 Years,Willie Anderson,335
"6'7"" (2.01m)",220lb (100kg),USA,Creighton,"January 11, 1946",1969 R2 Pick 25,1 Year,1969 R2 Pick 25,"January 11, 1946",USA,Creighton,1 Year,Wally Anderzunas,76048
"7'2"" (2.18m)",240lb (109kg),Lithuania,Zalgiris,"March 12, 1986",2005 R2 Pick 44,2 Years,2005 R2 Pick 44,"March 12, 1986",Lithuania,Zalgiris,2 Years,Martynas Andriuskevicius,101149
"6'7"" (2.01m)",190lb (86kg),USA,Missouri State,"November 1, 1930",1954 R3 Pick 26,1 Year,1954 R3 Pick 26,"November 1, 1930",USA,Missouri State,1 Year,Don Anielak,76049
"6'10"" (2.08m)",250lb (113kg),USA,UCLA,"October 16, 1998",2017 R2 Pick 47,3 Years,2017 R2 Pick 47,"October 16, 1998",USA,UCLA,3 Years,Ike Anigbogu,1628387
"6'7"" (2.01m)",225lb (102kg),USA,Alabama,"February 8, 1967",1989 R2 Pick 37,3 Years,1989 R2 Pick 37,"February 8, 1967",USA,Alabama,3 Years,Michael Ansley,76050
"7'0"" (2.13m)",249lb (113kg),Australia,South East Melbourne,"January 1, 1975",1997 R1 Pick 18,2 Years,1997 R1 Pick 18,"January 1, 1975",Australia,South East Melbourne,2 Years,Chris Anstey,1512
"6'11"" (2.11m)",243lb (110kg),Greece,Filathlitikos,29 years,"December 6, 1994",2013 R1 Pick 15,11 Years,2013 R1 Pick 15,"December 6, 1994",Greece,Filathlitikos,11 Years,Giannis Antetokounmpo,203507
"6'10"" (2.08m)",200lb (91kg),Greece,Dayton,"November 20, 1997",2018 R2 Pick 60,4 Years,2018 R2 Pick 60,"November 20, 1997",Greece,Dayton,4 Years,Kostas Antetokounmpo,1628961
"6'7"" (2.01m)",219lb (99kg),Greece,Panathinaikos,"July 18, 1992",2014 R2 Pick 51,7 Years,2014 R2 Pick 51,"July 18, 1992",Greece,Panathinaikos,7 Years,Thanasis Antetokounmpo,203648
"6'7"" (2.01m)",238lb (108kg),USA,Syracuse,"May 29, 1984",2003 R1 Pick 3,20 Years,2003 R1 Pick 3,"May 29, 1984",USA,Syracuse,20 Years,Carmelo Anthony,2546
"6'2"" (1.88m)",185lb (84kg),USA,North Carolina,24 years,"May 15, 2000",2020 R1 Pick 15,4 Years,2020 R1 Pick 15,"May 15, 2000",USA,North Carolina,4 Years,Cole Anthony,1630175
"6'1"" (1.85m)",180lb (82kg),USA,UNLV,"November 15, 1967",1991 R1 Pick 12,11 Years,1991 R1 Pick 12,"November 15, 1967",USA,UNLV,11 Years,Greg Anthony,21
"6'9"" (2.06m)",245lb (111kg),Canada,UNLV,"August 9, 1982",Undrafted,11 Years,Undrafted,"August 9, 1982",Canada,UNLV,11 Years,Joel Anthony,201202
"6'11"" (2.11m)",260lb (118kg),Macedonia,Olympiacos,"July 29, 1982",Undrafted,2 Years,Undrafted,"July 29, 1982",Macedonia,Olympiacos,2 Years,Pero Antic,203544
"6'7"" (2.01m)",240lb (109kg),United Kingdom,Indiana,27 years,"July 17, 1997",2017 R1 Pick 23,7 Years,2017 R1 Pick 23,"July 17, 1997",United Kingdom,Indiana,7 Years,OG Anunoby,1628384
"6'1"" (1.85m)",185lb (84kg),USA,Michigan State,"February 13, 1992",Undrafted,1 Year,Undrafted,"February 13, 1992",USA,Michigan State,1 Year,Keith Appling,203951
"6'11"" (2.11m)",270lb (122kg),Brazil,Brigham Young,"August 12, 1980",2004 R1 Pick 8,4 Years,2004 R1 Pick 8,"August 12, 1980",Brazil,Brigham Young,4 Years,Rafael Araujo,2737
"6'4"" (1.93m)",210lb (95kg),USA,Iowa State,"February 17, 1936",Undrafted,1 Year,Undrafted,"February 17, 1936",USA,Iowa State,1 Year,Stacey Arceneaux,76053
"6'1"" (1.85m)",150lb (68kg),USA,Texas-El Paso,"September 2, 1948",1970 R2 Pick 19,13 Years,1970 R2 Pick 19,"September 2, 1948",USA,Texas-El Paso,13 Years,Nate Archibald,76054
"6'11"" (2.11m)",250lb (113kg),Scotland,Illinois,"March 29, 1980",2002 R2 Pick 31,3 Years,2002 R2 Pick 31,"March 29, 1980",Scotland,Illinois,3 Years,Robert Archibald,2425
"6'3"" (1.91m)",195lb (88kg),USA,Villanova,"March 26, 1994",Undrafted,7 Years,Undrafted,"March 26, 1994",USA,Villanova,7 Years,Ryan Arcidiacono,1627853
"6'9"" (2.06m)",215lb (98kg),USA,Cincinnati,"September 19, 1948",1970 R1 Pick 6,4 Years,1970 R1 Pick 6,"September 19, 1948",USA,Cincinnati,4 Years,Jim Ard,76055
"6'4"" (1.93m)",215lb (98kg),USA,Arizona,"January 6, 1982",2001 R2 Pick 30,12 Years,2001 R2 Pick 30,"January 6, 1982",USA,Arizona,12 Years,Gilbert Arenas,2240
"6'8"" (2.03m)",215lb (98kg),USA,UCLA,"June 30, 1985",2004 R2 Pick 43,18 Years,2004 R2 Pick 43,"June 30, 1985",USA,UCLA,18 Years,Trevor Ariza,2772
"6'4"" (1.93m)",190lb (86kg),USA,Villanova,"April 9, 1928",1950,10 Years,1950,"April 9, 1928",USA,Villanova,10 Years,Paul Arizin,76056
--,--,USA,Texas Tech,"June 26, 1998",Undrafted,Rookie,Undrafted,"June 26, 1998",USA,Texas Tech,Rookie,Adonis Arms,1631317
"6'2"" (1.88m)",185lb (84kg),USA,Iowa,"September 9, 1967",1989 R1 Pick 18,11 Years,1989 R1 Pick 18,"September 9, 1967",USA,Iowa,11 Years,B.J. Armstrong,769
"6'5"" (1.96m)",185lb (84kg),USA,Pepperdine,"June 16, 1980",2001 R1 Pick 23,4 Years,2001 R1 Pick 23,"June 16, 1980",USA,Pepperdine,4 Years,Brandon Armstrong,2220
"6'1"" (1.85m)",180lb (82kg),USA,Fayetteville State,"June 22, 1968",Undrafted,15 Years,Undrafted,"June 22, 1968",USA,Fayetteville State,15 Years,Darrell Armstrong,353
"6'11"" (2.11m)",235lb (107kg),USA,Connecticut,"November 23, 1984",2006 R1 Pick 12,6 Years,2006 R1 Pick 12,"November 23, 1984",USA,Connecticut,6 Years,Hilton Armstrong,200756
--,--,USA,Villanova,"February 21, 2004",Undrafted,Rookie,Undrafted,"February 21, 2004",USA,Villanova,Rookie,Mark Armstrong,1642378
"5'11"" (1.8m)",170lb (77kg),USA,Indiana,"November 1, 1918",Undrafted,3 Years,Undrafted,"November 1, 1918",USA,Indiana,3 Years,Paul Armstrong,76060
"6'3"" (1.91m)",175lb (79kg),USA,Duke,"October 5, 1955",1977 R1 Pick 13,2 Years,1977 R1 Pick 13,"October 5, 1955",USA,Duke,2 Years,Tate Armstrong,76059
